27,Flowers of Evil,Show,1355,1440,Room B113,none,none,http://www.youtube.com/watch_popup?v=agNACZm_J7U
28,Summer Wars,Movie,680,800,AUD 3,none,none,http://www.youtube.com/watch_popup?v=YfEkcD-NXVA
29,Trigun: Badlands Rumble,Movie,880,975,AUD 3,none,none,http://www.youtube.com/watch_popup?v=xo2gd17vlvw
30,Gurren Lagann: The Movie,Movie,975,1110,AUD 3,none,none,http://www.youtube.com/watch_popup?v=kSuRntNxcOg
31,Akira,Movie,1270,1395,AUD 3,none,none,http://www.youtube.com/watch_popup?v=DQIkGZhKo5Q
32,K-On! The Movie,Movie,1080,1210,Room B109,none,none,http://www.youtube.com/watch_popup?v=LeBAalKON10
33,Gintama: The Movie,Movie,1270,1370,Room B109,none,none,http://www.youtube.com/watch_popup?v=o2eKj8AHdsI
34,Lupin III: The Mystery of Mamo,Movie,1080,1210,Room B111,none,none,http://www.youtube.com/watch_popup?v=mL-yCK6k_68
35,Raffle,Event,1210,1270,AUD 3,none,none,none
36,Anime Jeopardy,Event,960,1050,Lecture Hall 1,none,none,none
37,Cosplay Contest,Event,1050,1140,Lecture Hall 1,none,none,none
38,Anime Tune Contest,Event,840,900,Room B116,none,none,none
39,Sore Zore Challenge,Event,1270,1330,Room B116,none,none,none
40,Anime vs. Manga,Panel,720,780,Lecture Hall 1,none,none,none
41,Creating Art in in the Manga Style III: Digital Tablets,Panel,780,900,Lecture Hall 1,none,none,none
42,Jumping into Jojo,Panel,900,960,Lecture Hall 1,none,none,none
43,Let's Draw Kawaii!,Panel,1140,1200,Lecture Hall 1,none,none,none
44,Best Anime of 2013,Panel,1270,1330,Lecture Hall 1,none,none,none
45,Why Bad Movies are Good,Panel,610,670,Lecture Hall 1,none,none,none
46,Why the Pokedex is bad,Panel,720,780,Room B116,none,none,none
47,Intro to Comp. Pokemon Battling,Panel,780,840,Room B116,none,none,none
48,One Piece at Hyperspeed,Panel,900,1020,Room B116,none,none,none
49,Korra: What do you Think?,Panel,1020,1080,Room B116,none,none,none
50,Crossdressing in Anime: It's a Trap,Panel,1080,1140,Room B116,none,none,none
51,Do Robot Girls Dream of Electric Sheep?,Panel,1140,1200,Room B116,none,none,none
52,Table Shift 1,Table,540,600,Entrance,none,none,none
53,Table Shift 2,Table,600,660,Entrance,none,none,none
54,Table Shift 3,Table,660,720,Entrance,none,none,none
55,Table Shift 4,Table,720,780,Entrance,none,none,none
56,Table Shift 5,Table,780,840,Entrance,none,none,none
57,Table Shift 6,Table,840,900,Entrance,none,none,none
58,Table Shift 7,Table,900,960,Entrance,none,none,none
59,Table Shift 8,Table,960,1020,Entrance,none,none,none
60,Table Shift 9,Table,1020,1080,Entrance,none,none,none
61,Table Shift 10,Table,1080,1140,Entrance,none,none,none
62,Table Shift 11,Table,1140,1200,Entrance,none,none,none
63,Table Shift 12,Table,1200,1260,Entrance,none,none,none
64,Table Shift 13,Table,1260,1320,Entrance,none,none,none
65,Table Shift 14,Table,1320,1380,Entrance,none,none,none
66,Table Shift 15,Table,1380,1440,Entrance,none,none,none
67,Table Shift 16,Table,1440,1500,Entrance,none,none,none
